name,id,artist
Music From The Motion Picture Not Another Teen Movie,spotify:album:3e89oGaupFgYKUIuE92Eb4,Not Another Teen Movie Soundtrack 
Soundtrack To Your Escape,spotify:album:3t017PvHiI6k04PEL5hq2C,In Flames 
The Lion King: Special Edition Original Soundtrack - English Version,spotify:album:6V642KcHwzOSyYGwH58kgO,Various Artists 
Love Actually Soundtrack,spotify:album:19RPbTaPIFbnAgjsjrmd6L,Original Soundtrack 
Shrek The Third,spotify:album:1fvIzDr3i2RQowvMXnPG51,Soundtrack 
Austin & Ally - Original Soundtrack,spotify:album:4d65jQefqOs6KWxqCT6VVF,Ross Lynch 
Tarzan Original Soundtrack - Danish Version,spotify:album:77x5xtnfDDZuYK3aOMXZCt,Phil Collins 
The Lion King: Special Edition Original Soundtrack - Swedish Version,spotify:album:1Dn2s7K0vTc55MtRTBN9sx,Various Artists 
Hair,spotify:album:1llShsXxqoYFxKEX7JkKBj,Original Soundtrack 
The Dark Knight Rises: Original Motion Picture Soundtrack,spotify:album:0q3KEEwGPGPPnXJNQ32Wyz,Hans Zimmer 
Music From The Motion Picture Michael,spotify:album:52LfK1ML8u7Xj1ArC8oC22,Michael Soundtrack 
Hullabaloo Soundtrack,spotify:album:5eJTvSeghTKoqN3Ly4TqEf,Muse 
TRUE BLOOD: Music from and Inspired by the HBO® Original Series,spotify:album:3s7BASq5m9qzfw1JH0UgRC,True Blood Soundtrack 
Lean On Me,spotify:album:5f4qQxCg1mLFz7qMkGH2tN,Lean On Me (Original Soundtrack) 
Pearl Jam Twenty Original Motion Picture Soundtrack,spotify:album:1z6iuIsvWR3AjWhMY2xFOk,Pearl Jam 
Quentin Tarantino’s Django Unchained Original Motion Picture Soundtrack,spotify:album:2qwPVMQzybhS2jopA0wMy7,Various Artists 
Big Fish - Music from the Motion Picture,spotify:album:3xzFIcun38dKeUM0YRkrfm,Original Motion Picture Soundtrack 
Wreck-It Ralph - Original Motion Picture Soundtrack,spotify:album:4ENZt2KZNwHjQs8HLnybDp,Various Artists 
Jane Eyre - Original Motion Picture Soundtrack,spotify:album:4EHO6nIhB0OCyOY2vQ8yqX,Jane Eyre (Original Motion Picture Soundtrack) 
High School Musical 2 Original Soundtrack,spotify:album:4g4WF3z8fvHAYfaPMLD86b,Various Artists 
Commit This To Memory Deluxe Version,spotify:album:7Fa1YyEE3LTYppi391Uaer,Motion City Soundtrack 
300 Original Motion Picture Soundtrack,spotify:album:2MhORIIiEX9gE51YVlTzKO,300 Original Motion Picture Soundtrack 
Eternal Sunshine of the Spotless Mind Original Soundtrack,spotify:album:1i96nf27DteAgYMuXc9STJ,Various Artists 
Music For The Motion Picture Into The Wild,spotify:album:0iyWxTBrrClm4XW0pz5V7S,Soundtrack 
A Walk To Remember Music From The Motion Picture,spotify:album:3R75kQqyoMi7BSe3cHgMFW,Original Soundtrack 
Original Motion Picture Soundtrack - Full Metal Jacket,spotify:album:3tpJtzZm4Urb0n2ITN5mwF,Full Metal Jacket Soundtrack 
A Walk To Remember Music From The Motion Picture,spotify:album:0hdH7DpYGnTWmwV2UhYbKa,Original Motion Picture Soundtrack 
Fireproof Original Motion Picture Soundtrack,spotify:album:0QvGPWz6Z0l8gR7lJeRRvV,Original Motion Picture Soundtrack 
I Am The Movie,spotify:album:0V7g8ocszx9PQOy77l6auR,Motion City Soundtrack 
The Dukes Of Hazzard (Music From The Motion Picture),spotify:album:0HUuxXsQ1lYDpS99EXlNBI,The Dukes Of Hazzard (Motion Picture Soundtrack) 
Twilight Original Motion Picture Soundtrack,spotify:album:2GyUUfYnMRHfedmwZC1l0p,Twilight Music From The Original Motion Picture Soundtrack 
Scott Pilgrim vs. the World (Original Motion Picture Soundtrack),spotify:album:3q1e0dxZARuaHxZkLzgErK,Various Artists 
Dirty Dancing: Anniversary Edition,spotify:album:3LRhyjBARwKrCp28rmcmAM,Original Motion Picture Soundtrack
Hairspray: Soundtrack To The Motion Picture,spotify:album:4Zn7BXKuedSmqDicIthF1F,Various Artists 
Veronica Mars (Original Television Soundtrack),spotify:album:1gz4aiQoJtuDL5tMBqXHhR,Various Artists 
